口コミ,投稿日
送迎バスから急坂を上がりますが、湯の里の露天風呂は広々していて好きです。お部屋は、和洋室を選んでます。土地柄？天気もちょっと悪かったから？部屋が湿っぽい感じがしましたが、クーラーでなんとか。今回は、地下での食事でした。品数は満足、食べきれない〜と思いながら頂きました！肉がしっかり焼けたか？？あっ、火が消える！と言った心配はありましたが、やわらかい豚肉いただきました。アレルギーの子ども食は、変更していて下さいました。ありがとうございます。販売機で、水、麦茶を買いたかったのですが、水は売り切れ、麦茶は本館まで買いに行きました。もう少し種類があり、補充か、販売機で買えるようにしてほしいです。帰りのバスは、始発なので、本当に助かります！まだ行きます。２ヶ月連続で行きました！３ヶ月連続で行きたいです！,2023-08-30
家族3人で宿泊させていただきました。送迎バスがあるのでとても助かりました！夕食のお肉とお魚がとても美味しかったです。それぞれ量も丁度よく、食べ盛りのこどもが食べ足りなかったりすることなく大満足です。露天風呂は入る場所ごとに温度が違っていたので、のぼせやすい体質の私でもゆっくり入ることができました。朝風呂もオススメです！朝ごはんはバイキング形式で、ちゃんと部屋毎にテーブルをご用意していただけるのでゆっくり座りながらバイキングを楽しめました。納豆やお味噌汁、お魚もあってThe朝食って感じがして良かったです。スタッフの方も皆様とても親切で気持ち良かったです♪また箱根で旅行する際はおかださんにお世話になります！,2023-08-28
高台にあるため徒歩はかなりきつい。ホテルの場所、駐車場も分かりにくい。敷き布団が薄く二枚重ねて利用。隣の部屋、声などうるさい。お風呂は遠いが色々楽しめる。食事は料金なり。品数が寂しいかも。若い人向きのホテルかと思う。,2023-08-27
小田原城などを観光した後、翌日の大涌谷・芦ノ湖など箱根を観光するためにこちらのホテルを利用させて頂きました。車のナビは温泉町の奥へと案内するので、「どこに連れていかれるのだろう、、、」と思っていると「箱根の森おかだ」が現れました。外観は新しい感じはありませんでしたが、部屋は清潔感があり、広く、快適でした。このホテルは少し高台にあるので、部屋からの景色が良いです。ホテル内にプールもあり、子供連れにも良いと思いました。しかし、このホテルの一番のお勧めはやはり温泉です。内湯と色々な露天風呂があるので、それらの湯船をめぐるだけでも楽しめます。リーズナブルなお値段で、箱根観光と温泉を楽しみたい方には、お勧めです。もちろん、小さな子供連れの家族にも、お勧めだと思います。,2023-08-15
温泉がすごくよかったです！！温泉を売りにしたお宿な気がします！夕飯はとても良かったですが、朝食はバリエーションが不足してました。ただ、お部屋が残念でした。トイレのアンモニア臭がします。部屋を出る際に毎回カギを抜き取ることで、電源がOFFになるため空調してても意味ありません。スタッフさんはみなさん対応良かったです。,2023-08-14
初めて利用しましたが、露天風呂がとても気持ちよかったです。夕飯も種類豊富で美味しく、朝ごはんもバイキングで色々なおかずを食べれて満足でした。部屋も広く清潔感あり、スタッフの方も声かけるとすぐ対応していただき楽しい家族旅行でした。,2023-08-12
今回は夏休みという事もあり、プール付きという事でお世話になりました。幼児用プールやそのまま入れる温泉もあり、たくさん遊べました。また、温泉は露天にたくさんの種類があり、とても気持ち良く大満足でした。温泉だけでも価値はあります。またお世話になりたいです。,2023-08-12
家族で利用しました。ジャグジーやジェットバス、打たせ湯、色々なお風呂を楽しみました。隣のおかだホテルのお風呂も利用できますよ。お部屋も3人で利用するには十分広く、ゆったり過ごせました。仲居さんがいない分、自分たちのペースでのんびりできたのが逆によかったです。子どもの食事は大人と同じだと聞いていたのですが、一部のメニューがハンバーグになっていたり、子どもが苦手なメニューが抜いてあったりと、心遣いが感じられました。子連れ旅行にオススメです。また是非利用したいです!,2023-08-10
何度目かのリピーターです比較的近くに住んでいるので思い立ったら予約してさっと出かけます。アルティメット美食プランということでいつもより豪華な夕食でした。この旅館はコスパが良くて気を張らなくていい旅館なので温泉も何度も入りまったり過ごしました良かったです,2023-08-07
夏休みですので、家族大人4人＋父母でプールと温泉目当てで一泊しました。こちらの宿には6回ほどお世話になってます。まず子供が小さい頃は1階のお部屋が用意されていましたが、今回大人ばかりだったので初の3階でした。お部屋はいつもと同じタタミ＋洋室ベッド2台でした。綺麗に掃除され、SHARPプラズマクラスターの空気清浄機があり、禁煙ルームで喘息持ちですが、安心して過ごせました。タタミが1箇所だけふわふわのした場所があったので、部屋の満足度を4にしました。お料理は夜は鉄板を和牛に変更したコースで、父も久しぶりに美味しいとたくさん食べてくれました。朝は全てバイキングに変わっていました。息子は干物嫌いなので好きなものだけ取れるのはありがたかったです。働いている方は外国の方でしたが、日本語も上手でとても感じがよく、冷房が効きすぎていたらすぐに調整してくれました。プールはあまり深く無いので、子供が小さい頃見守りやすく、大人だけでも楽しく過ごせました。プールの一角がミニ温泉があり、寒くなると暖まれます。今回不自由だったのは、５家族しか居なかったのですが、プールサイドの着替えの室のロッカーが、男子女子共に一つもなく荷物に困りました。温泉は3階通路から繋がる日帰り入浴施設が使えます。朝6時から11時ぐらいまで自由に入れます。マッサージ機も無料なのでゆっくり疲れを癒せました。また来年お世話になります。,2023-08-06
